"id_experiment","id_parameter","nr_algorithm_iteration","nr_function_iteration","nr_task","vl_total_execution_time","vl_inter_task_execution_time","vl_intra_task_execution_time_full_func","vl_intra_task_execution_time_device_func","vl_communication_time_1","vl_communication_time_2","vl_additional_time_1","vl_additional_time_2","dt_processing"
"5776","64","15","0","545",NULL,NULL,"0.0672181757055222","0.0218417282104492","0.02697524568066","0.018401201814413","0","0","2023-12-17 19:29:45.656934"
"5777","64","15","0","609",NULL,NULL,"0.067074455667287","0.0213928966522216","0.0268446691334247","0.0188368898816406","0","0","2023-12-17 19:29:47.977637"
"5778","64","15","0","562",NULL,NULL,"0.0729611515253781","0.0212653446197509","0.030974430963397","0.0207213759422302","0","0","2023-12-17 19:29:45.990309"
"5779","64","15","0","546",NULL,NULL,"0.0665864535719155","0.0217440967559814","0.0262029897421598","0.0186393670737743","0","0","2023-12-17 19:29:48.636573"
"5780","64","15","0","736",NULL,NULL,"0.0735682278028689","0.0215544967651367","0.0325743370340205","0.0194393940037116","0","0","2023-12-17 19:29:49.858698"
"5781","64","15","0","577",NULL,NULL,"0.0734957121610641","0.0214831047058105","0.031837448477745","0.0201751589775085","0","0","2023-12-17 19:29:49.858883"
"5782","64","15","0","656",NULL,NULL,"0.0745524661839008","0.0216265926361084","0.0330428853631019","0.0198829881846904","0","0","2023-12-17 19:29:49.860193"
"5783","64","15","0","31",NULL,NULL,"0.073532941520214","0.0213789443969726","0.0323747880756855","0.0197792090475559","0","0","2023-12-17 19:29:49.86765"
"5784","64","15","0","351",NULL,NULL,"0.0756819578115828","0.0213414077758789","0.0344244409934617","0.0199161090422421","0","0","2023-12-17 19:29:49.862764"
"5785","64","15","0","413",NULL,NULL,"0.0741333477362059","0.0216232967376709","0.0329970570164732","0.0195129939820617","0","0","2023-12-17 19:29:49.863684"
"5786","64","15","0","447",NULL,NULL,"0.0751729660793207","0.0219352951049804","0.0332730569643899","0.0199646140099503","0","0","2023-12-17 19:29:49.872575"
"5787","64","15","0","431",NULL,NULL,"0.0672031135219148","0.0216754875183105","0.0261793649988248","0.0193482610047794","0","0","2023-12-17 19:29:50.299683"
