"id_parameter","cd_parameter","cd_configuration","id_algorithm","id_function","id_dataset","id_resource","id_parameter_type","nr_iterations","vl_grid_row_dimension","vl_grid_column_dimension","vl_block_row_dimension","vl_block_column_dimension","vl_block_memory_size","vl_block_memory_size_percent_cpu","vl_block_memory_size_percent_gpu"
"14655","2607","1","1","1","29","18","19","5","8","1","15625000","100","12500000000","0.09765625","1.0416666666666667"
"14656","2607","2","1","2","29","18","19","5","8","1","15625000","100","12500000000","0.09765625","1.0416666666666667"
"14657","2607","1","1","1","29","18","19","5","16","1","7812500","100","6250000000","0.048828125","0.5208333333333334"
"14658","2607","2","1","2","29","18","19","5","16","1","7812500","100","6250000000","0.048828125","0.5208333333333334"
"14659","2607","1","1","1","29","18","19","5","32","1","3906250","100","3125000000","0.0244140625","0.2604166666666667"
"14660","2607","2","1","2","29","18","19","5","32","1","3906250","100","3125000000","0.0244140625","0.2604166666666667"
"14661","2607","1","1","1","29","18","19","5","64","1","1953125","100","1562500000","0.01220703125","0.13020833333333334"
"14662","2607","2","1","2","29","18","19","5","64","1","1953125","100","1562500000","0.01220703125","0.13020833333333334"
"14663","2607","1","1","1","29","18","19","5","128","1","976562","100","781249600","0.0061035125","0.06510413333333333"
"14664","2607","2","1","2","29","18","19","5","128","1","976562","100","781249600","0.0061035125","0.06510413333333333"
"14665","2607","1","1","1","29","18","19","5","256","1","488281","100","390624800","0.00305175625","0.032552066666666664"
"14666","2607","2","1","2","29","18","19","5","256","1","488281","100","390624800","0.00305175625","0.032552066666666664"
"14721","2611","1","1","1","27","18","20","5","1","1","1250000","100","1000000000","0.0078125","0.08333333333333333"
"14722","2611","2","1","2","27","18","20","5","1","1","1250000","100","1000000000","0.0078125","0.08333333333333333"
"14723","2611","1","1","1","27","18","20","5","2","1","625000","100","500000000","0.00390625","0.041666666666666664"
"14724","2611","2","1","2","27","18","20","5","2","1","625000","100","500000000","0.00390625","0.041666666666666664"
"14725","2611","1","1","1","27","18","20","5","4","1","312500","100","250000000","0.001953125","0.020833333333333332"
"14726","2611","2","1","2","27","18","20","5","4","1","312500","100","250000000","0.001953125","0.020833333333333332"
"14727","2611","1","1","1","27","18","20","5","8","1","156250","100","125000000","0.0009765625","0.010416666666666666"
"14728","2611","2","1","2","27","18","20","5","8","1","156250","100","125000000","0.0009765625","0.010416666666666666"
"14729","2611","1","1","1","27","18","20","5","16","1","78125","100","62500000","0.00048828125","0.005208333333333333"
"14730","2611","2","1","2","27","18","20","5","16","1","78125","100","62500000","0.00048828125","0.005208333333333333"
"14731","2611","1","1","1","27","18","20","5","32","1","39062","100","31249600","0.0002441375","0.0026041333333333334"
"14732","2611","2","1","2","27","18","20","5","32","1","39062","100","31249600","0.0002441375","0.0026041333333333334"
"14733","2611","1","1","1","27","18","20","5","64","1","19531","100","15624800","0.00012206875","0.0013020666666666667"
"14734","2611","2","1","2","27","18","20","5","64","1","19531","100","15624800","0.00012206875","0.0013020666666666667"
"14735","2611","1","1","1","27","18","20","5","128","1","9765","100","7812000","6.103125e-05","0.000651"
"14736","2611","2","1","2","27","18","20","5","128","1","9765","100","7812000","6.103125e-05","0.000651"
"14737","2611","1","1","1","27","18","20","5","256","1","4882","100","3905600","3.05125e-05","0.00032546666666666665"
"14738","2611","2","1","2","27","18","20","5","256","1","4882","100","3905600","3.05125e-05","0.00032546666666666665"
"14739","2612","1","1","1","28","18","20","5","1","1","12500000","100","10000000000","0.078125","0.8333333333333334"
"14740","2612","2","1","2","28","18","20","5","1","1","12500000","100","10000000000","0.078125","0.8333333333333334"
"14741","2612","1","1","1","28","18","20","5","2","1","6250000","100","5000000000","0.0390625","0.4166666666666667"
"14742","2612","2","1","2","28","18","20","5","2","1","6250000","100","5000000000","0.0390625","0.4166666666666667"
"14743","2612","1","1","1","28","18","20","5","4","1","3125000","100","2500000000","0.01953125","0.20833333333333334"
"14744","2612","2","1","2","28","18","20","5","4","1","3125000","100","2500000000","0.01953125","0.20833333333333334"
"14745","2612","1","1","1","28","18","20","5","8","1","1562500","100","1250000000","0.009765625","0.10416666666666667"
"14746","2612","2","1","2","28","18","20","5","8","1","1562500","100","1250000000","0.009765625","0.10416666666666667"
"14747","2612","1","1","1","28","18","20","5","16","1","781250","100","625000000","0.0048828125","0.052083333333333336"
"14748","2612","2","1","2","28","18","20","5","16","1","781250","100","625000000","0.0048828125","0.052083333333333336"
"14749","2612","1","1","1","28","18","20","5","32","1","390625","100","312500000","0.00244140625","0.026041666666666668"
"14750","2612","2","1","2","28","18","20","5","32","1","390625","100","312500000","0.00244140625","0.026041666666666668"
"14751","2612","1","1","1","28","18","20","5","64","1","195312","100","156249600","0.0012207","0.0130208"
"14752","2612","2","1","2","28","18","20","5","64","1","195312","100","156249600","0.0012207","0.0130208"
"14753","2612","1","1","1","28","18","20","5","128","1","97656","100","78124800","0.00061035","0.0065104"
"14754","2612","2","1","2","28","18","20","5","128","1","97656","100","78124800","0.00061035","0.0065104"
"14755","2612","1","1","1","28","18","20","5","256","1","48828","100","39062400","0.000305175","0.0032552"
"14756","2612","2","1","2","28","18","20","5","256","1","48828","100","39062400","0.000305175","0.0032552"
"14757","2613","1","1","1","29","18","20","5","1","1","125000000","100","100000000000","0.78125","8.333333333333334"
"14758","2613","2","1","2","29","18","20","5","1","1","125000000","100","100000000000","0.78125","8.333333333333334"
"14759","2613","1","1","1","29","18","20","5","2","1","62500000","100","50000000000","0.390625","4.166666666666667"
"14760","2613","2","1","2","29","18","20","5","2","1","62500000","100","50000000000","0.390625","4.166666666666667"
"14761","2613","1","1","1","29","18","20","5","4","1","31250000","100","25000000000","0.1953125","2.0833333333333335"
"14762","2613","2","1","2","29","18","20","5","4","1","31250000","100","25000000000","0.1953125","2.0833333333333335"
"14763","2613","1","1","1","29","18","20","5","8","1","15625000","100","12500000000","0.09765625","1.0416666666666667"
"14764","2613","2","1","2","29","18","20","5","8","1","15625000","100","12500000000","0.09765625","1.0416666666666667"
"14765","2613","1","1","1","29","18","20","5","16","1","7812500","100","6250000000","0.048828125","0.5208333333333334"
"14766","2613","2","1","2","29","18","20","5","16","1","7812500","100","6250000000","0.048828125","0.5208333333333334"
"14767","2613","1","1","1","29","18","20","5","32","1","3906250","100","3125000000","0.0244140625","0.2604166666666667"
"14768","2613","2","1","2","29","18","20","5","32","1","3906250","100","3125000000","0.0244140625","0.2604166666666667"
"14769","2613","1","1","1","29","18","20","5","64","1","1953125","100","1562500000","0.01220703125","0.13020833333333334"
"14770","2613","2","1","2","29","18","20","5","64","1","1953125","100","1562500000","0.01220703125","0.13020833333333334"
"14771","2613","1","1","1","29","18","20","5","128","1","976562","100","781249600","0.0061035125","0.06510413333333333"
"14772","2613","2","1","2","29","18","20","5","128","1","976562","100","781249600","0.0061035125","0.06510413333333333"
"14773","2613","1","1","1","29","18","20","5","256","1","488281","100","390624800","0.00305175625","0.032552066666666664"
"14774","2613","2","1","2","29","18","20","5","256","1","488281","100","390624800","0.00305175625","0.032552066666666664"
"14829","2617","1","1","1","27","18","21","5","1","1","1250000","100","1000000000","0.0078125","0.08333333333333333"
"14830","2617","2","1","2","27","18","21","5","1","1","1250000","100","1000000000","0.0078125","0.08333333333333333"
"14831","2617","1","1","1","27","18","21","5","2","1","625000","100","500000000","0.00390625","0.041666666666666664"
"14832","2617","2","1","2","27","18","21","5","2","1","625000","100","500000000","0.00390625","0.041666666666666664"
"14833","2617","1","1","1","27","18","21","5","4","1","312500","100","250000000","0.001953125","0.020833333333333332"
"14834","2617","2","1","2","27","18","21","5","4","1","312500","100","250000000","0.001953125","0.020833333333333332"
"14835","2617","1","1","1","27","18","21","5","8","1","156250","100","125000000","0.0009765625","0.010416666666666666"
"14836","2617","2","1","2","27","18","21","5","8","1","156250","100","125000000","0.0009765625","0.010416666666666666"
"14837","2617","1","1","1","27","18","21","5","16","1","78125","100","62500000","0.00048828125","0.005208333333333333"
"14838","2617","2","1","2","27","18","21","5","16","1","78125","100","62500000","0.00048828125","0.005208333333333333"
"14839","2617","1","1","1","27","18","21","5","32","1","39062","100","31249600","0.0002441375","0.0026041333333333334"
"14840","2617","2","1","2","27","18","21","5","32","1","39062","100","31249600","0.0002441375","0.0026041333333333334"
"14841","2617","1","1","1","27","18","21","5","64","1","19531","100","15624800","0.00012206875","0.0013020666666666667"
"14842","2617","2","1","2","27","18","21","5","64","1","19531","100","15624800","0.00012206875","0.0013020666666666667"
"14843","2617","1","1","1","27","18","21","5","128","1","9765","100","7812000","6.103125e-05","0.000651"
"14844","2617","2","1","2","27","18","21","5","128","1","9765","100","7812000","6.103125e-05","0.000651"
"14845","2617","1","1","1","27","18","21","5","256","1","4882","100","3905600","3.05125e-05","0.00032546666666666665"
"14846","2617","2","1","2","27","18","21","5","256","1","4882","100","3905600","3.05125e-05","0.00032546666666666665"
"14847","2618","1","1","1","28","18","21","5","1","1","12500000","100","10000000000","0.078125","0.8333333333333334"
"14848","2618","2","1","2","28","18","21","5","1","1","12500000","100","10000000000","0.078125","0.8333333333333334"
"14849","2618","1","1","1","28","18","21","5","2","1","6250000","100","5000000000","0.0390625","0.4166666666666667"
"14850","2618","2","1","2","28","18","21","5","2","1","6250000","100","5000000000","0.0390625","0.4166666666666667"
"14851","2618","1","1","1","28","18","21","5","4","1","3125000","100","2500000000","0.01953125","0.20833333333333334"
"14852","2618","2","1","2","28","18","21","5","4","1","3125000","100","2500000000","0.01953125","0.20833333333333334"
"14853","2618","1","1","1","28","18","21","5","8","1","1562500","100","1250000000","0.009765625","0.10416666666666667"
"14854","2618","2","1","2","28","18","21","5","8","1","1562500","100","1250000000","0.009765625","0.10416666666666667"
"14855","2618","1","1","1","28","18","21","5","16","1","781250","100","625000000","0.0048828125","0.052083333333333336"
"14856","2618","2","1","2","28","18","21","5","16","1","781250","100","625000000","0.0048828125","0.052083333333333336"
"14857","2618","1","1","1","28","18","21","5","32","1","390625","100","312500000","0.00244140625","0.026041666666666668"
"14858","2618","2","1","2","28","18","21","5","32","1","390625","100","312500000","0.00244140625","0.026041666666666668"
"14859","2618","1","1","1","28","18","21","5","64","1","195312","100","156249600","0.0012207","0.0130208"
"14860","2618","2","1","2","28","18","21","5","64","1","195312","100","156249600","0.0012207","0.0130208"
"14861","2618","1","1","1","28","18","21","5","128","1","97656","100","78124800","0.00061035","0.0065104"
"14862","2618","2","1","2","28","18","21","5","128","1","97656","100","78124800","0.00061035","0.0065104"
"14863","2618","1","1","1","28","18","21","5","256","1","48828","100","39062400","0.000305175","0.0032552"
"14864","2618","2","1","2","28","18","21","5","256","1","48828","100","39062400","0.000305175","0.0032552"
"14865","2619","1","1","1","29","18","21","5","1","1","125000000","100","100000000000","0.78125","8.333333333333334"
"14866","2619","2","1","2","29","18","21","5","1","1","125000000","100","100000000000","0.78125","8.333333333333334"
"14867","2619","1","1","1","29","18","21","5","2","1","62500000","100","50000000000","0.390625","4.166666666666667"
"14868","2619","2","1","2","29","18","21","5","2","1","62500000","100","50000000000","0.390625","4.166666666666667"
"14869","2619","1","1","1","29","18","21","5","4","1","31250000","100","25000000000","0.1953125","2.0833333333333335"
"14870","2619","2","1","2","29","18","21","5","4","1","31250000","100","25000000000","0.1953125","2.0833333333333335"
"14871","2619","1","1","1","29","18","21","5","8","1","15625000","100","12500000000","0.09765625","1.0416666666666667"
"14872","2619","2","1","2","29","18","21","5","8","1","15625000","100","12500000000","0.09765625","1.0416666666666667"
"14873","2619","1","1","1","29","18","21","5","16","1","7812500","100","6250000000","0.048828125","0.5208333333333334"
"14874","2619","2","1","2","29","18","21","5","16","1","7812500","100","6250000000","0.048828125","0.5208333333333334"
"14875","2619","1","1","1","29","18","21","5","32","1","3906250","100","3125000000","0.0244140625","0.2604166666666667"
